Trial #,Message cnt,Token cnt,Coverage rate,Coverage plan
1,59,234424,6,"{'add->add_raw_hazard': 0, 'add->and_raw_hazard': 0, 'add->or_raw_hazard': 0, 'add->sb_raw_hazard': 0, 'add->sh_raw_hazard': 0, 'add->sll_raw_hazard': 0, 'add->slt_raw_hazard': 0, 'add->sltu_raw_hazard': 0, 'add->sra_raw_hazard': 0, 'add->srl_raw_hazard': 0, 'add->sub_raw_hazard': 0, 'add->sw_raw_hazard': 0, 'add->xor_raw_hazard': 0, 'add_same_src': 0, 'add_seen': 2, 'add_zero_dst': 0, 'add_zero_src': 0, 'and->add_raw_hazard': 0, 'and->and_raw_hazard': 0, 'and->or_raw_hazard': 0, 'and->sb_raw_hazard': 0, 'and->sh_raw_hazard': 0, 'and->sll_raw_hazard': 0, 'and->slt_raw_hazard': 0, 'and->sltu_raw_hazard': 0, 'and->sra_raw_hazard': 0, 'and->srl_raw_hazard': 0, 'and->sub_raw_hazard': 0, 'and->sw_raw_hazard': 0, 'and->xor_raw_hazard': 0, 'and_same_src': 0, 'and_seen': 0, 'and_zero_dst': 0, 'and_zero_src': 0, 'jal->add_raw_hazard': 0, 'jal->and_raw_hazard': 0, 'jal->or_raw_hazard': 0, 'jal->sb_raw_hazard': 0, 'jal->sh_raw_hazard': 0, 'jal->sll_raw_hazard': 0, 'jal->slt_raw_hazard': 0, 'jal->sltu_raw_hazard': 0, 'jal->sra_raw_hazard': 0, 'jal->srl_raw_hazard': 0, 'jal->sub_raw_hazard': 0, 'jal->sw_raw_hazard': 0, 'jal->xor_raw_hazard': 0, 'jal_br_backwards': 0, 'jal_br_forwards': 0, 'jal_seen': 0, 'jal_zero_dst': 0, 'or->add_raw_hazard': 0, 'or->and_raw_hazard': 0, 'or->or_raw_hazard': 0, 'or->sb_raw_hazard': 0, 'or->sh_raw_hazard': 0, 'or->sll_raw_hazard': 0, 'or->slt_raw_hazard': 0, 'or->sltu_raw_hazard': 0, 'or->sra_raw_hazard': 0, 'or->srl_raw_hazard': 0, 'or->sub_raw_hazard': 0, 'or->sw_raw_hazard': 0, 'or->xor_raw_hazard': 0, 'or_same_src': 0, 'or_seen': 0, 'or_zero_dst': 0, 'or_zero_src': 0, 'sb_same_src': 0, 'sb_seen': 0, 'sb_zero_src': 0, 'sh_same_src': 0, 'sh_seen': 0, 'sh_zero_src': 0, 'sll->add_raw_hazard': 0, 'sll->and_raw_hazard': 0, 'sll->or_raw_hazard': 0, 'sll->sb_raw_hazard': 0, 'sll->sh_raw_hazard': 0, 'sll->sll_raw_hazard': 0, 'sll->slt_raw_hazard': 0, 'sll->sltu_raw_hazard': 0, 'sll->sra_raw_hazard': 0, 'sll->srl_raw_hazard': 0, 'sll->sub_raw_hazard': 0, 'sll->sw_raw_hazard': 0, 'sll->xor_raw_hazard': 0, 'sll_same_src': 0, 'sll_seen': 0, 'sll_zero_dst': 0, 'sll_zero_src': 0, 'slt->add_raw_hazard': 0, 'slt->and_raw_hazard': 0, 'slt->or_raw_hazard': 0, 'slt->sb_raw_hazard': 0, 'slt->sh_raw_hazard': 0, 'slt->sll_raw_hazard': 0, 'slt->slt_raw_hazard': 0, 'slt->sltu_raw_hazard': 0, 'slt->sra_raw_hazard': 0, 'slt->srl_raw_hazard': 0, 'slt->sub_raw_hazard': 0, 'slt->sw_raw_hazard': 0, 'slt->xor_raw_hazard': 0, 'slt_same_src': 0, 'slt_seen': 4, 'slt_zero_dst': 2, 'slt_zero_src': 2, 'sltu->add_raw_hazard': 0, 'sltu->and_raw_hazard': 0, 'sltu->or_raw_hazard': 0, 'sltu->sb_raw_hazard': 0, 'sltu->sh_raw_hazard': 0, 'sltu->sll_raw_hazard': 0, 'sltu->slt_raw_hazard': 0, 'sltu->sltu_raw_hazard': 0, 'sltu->sra_raw_hazard': 0, 'sltu->srl_raw_hazard': 0, 'sltu->sub_raw_hazard': 0, 'sltu->sw_raw_hazard': 0, 'sltu->xor_raw_hazard': 0, 'sltu_same_src': 0, 'sltu_seen': 0, 'sltu_zero_dst': 0, 'sltu_zero_src': 0, 'sra->add_raw_hazard': 0, 'sra->and_raw_hazard': 0, 'sra->or_raw_hazard': 0, 'sra->sb_raw_hazard': 0, 'sra->sh_raw_hazard': 0, 'sra->sll_raw_hazard': 0, 'sra->slt_raw_hazard': 0, 'sra->sltu_raw_hazard': 0, 'sra->sra_raw_hazard': 0, 'sra->srl_raw_hazard': 0, 'sra->sub_raw_hazard': 0, 'sra->sw_raw_hazard': 0, 'sra->xor_raw_hazard': 0, 'sra_same_src': 0, 'sra_seen': 0, 'sra_zero_dst': 0, 'sra_zero_src': 0, 'srl->add_raw_hazard': 0, 'srl->and_raw_hazard': 0, 'srl->or_raw_hazard': 0, 'srl->sb_raw_hazard': 0, 'srl->sh_raw_hazard': 0, 'srl->sll_raw_hazard': 0, 'srl->slt_raw_hazard': 0, 'srl->sltu_raw_hazard': 0, 'srl->sra_raw_hazard': 0, 'srl->srl_raw_hazard': 0, 'srl->sub_raw_hazard': 0, 'srl->sw_raw_hazard': 0, 'srl->xor_raw_hazard': 0, 'srl_same_src': 0, 'srl_seen': 0, 'srl_zero_dst': 0, 'srl_zero_src': 0, 'sub->add_raw_hazard': 0, 'sub->and_raw_hazard': 0, 'sub->or_raw_hazard': 0, 'sub->sb_raw_hazard': 0, 'sub->sh_raw_hazard': 0, 'sub->sll_raw_hazard': 0, 'sub->slt_raw_hazard': 0, 'sub->sltu_raw_hazard': 0, 'sub->sra_raw_hazard': 0, 'sub->srl_raw_hazard': 0, 'sub->sub_raw_hazard': 0, 'sub->sw_raw_hazard': 0, 'sub->xor_raw_hazard': 0, 'sub_same_src': 0, 'sub_seen': 0, 'sub_zero_dst': 0, 'sub_zero_src': 0, 'sw_same_src': 3, 'sw_seen': 13, 'sw_zero_src': 0, 'xor->add_raw_hazard': 0, 'xor->and_raw_hazard': 0, 'xor->or_raw_hazard': 0, 'xor->sb_raw_hazard': 0, 'xor->sh_raw_hazard': 0, 'xor->sll_raw_hazard': 0, 'xor->slt_raw_hazard': 0, 'xor->sltu_raw_hazard': 0, 'xor->sra_raw_hazard': 0, 'xor->srl_raw_hazard': 0, 'xor->sub_raw_hazard': 0, 'xor->sw_raw_hazard': 0, 'xor->xor_raw_hazard': 0, 'xor_same_src': 0, 'xor_seen': 0, 'xor_zero_dst': 0, 'xor_zero_src': 0}"
2,34,139155,3,"{'add->add_raw_hazard': 0, 'add->and_raw_hazard': 0, 'add->or_raw_hazard': 0, 'add->sb_raw_hazard': 0, 'add->sh_raw_hazard': 0, 'add->sll_raw_hazard': 0, 'add->slt_raw_hazard': 0, 'add->sltu_raw_hazard': 0, 'add->sra_raw_hazard': 0, 'add->srl_raw_hazard': 0, 'add->sub_raw_hazard': 0, 'add->sw_raw_hazard': 0, 'add->xor_raw_hazard': 0, 'add_same_src': 0, 'add_seen': 1, 'add_zero_dst': 0, 'add_zero_src': 0, 'and->add_raw_hazard': 0, 'and->and_raw_hazard': 0, 'and->or_raw_hazard': 0, 'and->sb_raw_hazard': 0, 'and->sh_raw_hazard': 0, 'and->sll_raw_hazard': 0, 'and->slt_raw_hazard': 0, 'and->sltu_raw_hazard': 0, 'and->sra_raw_hazard': 0, 'and->srl_raw_hazard': 0, 'and->sub_raw_hazard': 0, 'and->sw_raw_hazard': 0, 'and->xor_raw_hazard': 0, 'and_same_src': 0, 'and_seen': 0, 'and_zero_dst': 0, 'and_zero_src': 0, 'jal->add_raw_hazard': 0, 'jal->and_raw_hazard': 0, 'jal->or_raw_hazard': 0, 'jal->sb_raw_hazard': 0, 'jal->sh_raw_hazard': 0, 'jal->sll_raw_hazard': 0, 'jal->slt_raw_hazard': 0, 'jal->sltu_raw_hazard': 0, 'jal->sra_raw_hazard': 0, 'jal->srl_raw_hazard': 0, 'jal->sub_raw_hazard': 0, 'jal->sw_raw_hazard': 0, 'jal->xor_raw_hazard': 0, 'jal_br_backwards': 0, 'jal_br_forwards': 0, 'jal_seen': 0, 'jal_zero_dst': 0, 'or->add_raw_hazard': 0, 'or->and_raw_hazard': 0, 'or->or_raw_hazard': 0, 'or->sb_raw_hazard': 0, 'or->sh_raw_hazard': 0, 'or->sll_raw_hazard': 0, 'or->slt_raw_hazard': 0, 'or->sltu_raw_hazard': 0, 'or->sra_raw_hazard': 0, 'or->srl_raw_hazard': 0, 'or->sub_raw_hazard': 0, 'or->sw_raw_hazard': 0, 'or->xor_raw_hazard': 0, 'or_same_src': 0, 'or_seen': 0, 'or_zero_dst': 0, 'or_zero_src': 0, 'sb_same_src': 0, 'sb_seen': 0, 'sb_zero_src': 0, 'sh_same_src': 0, 'sh_seen': 0, 'sh_zero_src': 0, 'sll->add_raw_hazard': 0, 'sll->and_raw_hazard': 0, 'sll->or_raw_hazard': 0, 'sll->sb_raw_hazard': 0, 'sll->sh_raw_hazard': 0, 'sll->sll_raw_hazard': 0, 'sll->slt_raw_hazard': 0, 'sll->sltu_raw_hazard': 0, 'sll->sra_raw_hazard': 0, 'sll->srl_raw_hazard': 0, 'sll->sub_raw_hazard': 0, 'sll->sw_raw_hazard': 0, 'sll->xor_raw_hazard': 0, 'sll_same_src': 0, 'sll_seen': 0, 'sll_zero_dst': 0, 'sll_zero_src': 0, 'slt->add_raw_hazard': 0, 'slt->and_raw_hazard': 0, 'slt->or_raw_hazard': 0, 'slt->sb_raw_hazard': 0, 'slt->sh_raw_hazard': 0, 'slt->sll_raw_hazard': 0, 'slt->slt_raw_hazard': 0, 'slt->sltu_raw_hazard': 0, 'slt->sra_raw_hazard': 0, 'slt->srl_raw_hazard': 0, 'slt->sub_raw_hazard': 0, 'slt->sw_raw_hazard': 0, 'slt->xor_raw_hazard': 0, 'slt_same_src': 0, 'slt_seen': 0, 'slt_zero_dst': 0, 'slt_zero_src': 0, 'sltu->add_raw_hazard': 0, 'sltu->and_raw_hazard': 0, 'sltu->or_raw_hazard': 0, 'sltu->sb_raw_hazard': 0, 'sltu->sh_raw_hazard': 0, 'sltu->sll_raw_hazard': 0, 'sltu->slt_raw_hazard': 0, 'sltu->sltu_raw_hazard': 0, 'sltu->sra_raw_hazard': 0, 'sltu->srl_raw_hazard': 0, 'sltu->sub_raw_hazard': 0, 'sltu->sw_raw_hazard': 0, 'sltu->xor_raw_hazard': 0, 'sltu_same_src': 0, 'sltu_seen': 0, 'sltu_zero_dst': 0, 'sltu_zero_src': 0, 'sra->add_raw_hazard': 0, 'sra->and_raw_hazard': 0, 'sra->or_raw_hazard': 0, 'sra->sb_raw_hazard': 0, 'sra->sh_raw_hazard': 0, 'sra->sll_raw_hazard': 0, 'sra->slt_raw_hazard': 0, 'sra->sltu_raw_hazard': 0, 'sra->sra_raw_hazard': 0, 'sra->srl_raw_hazard': 0, 'sra->sub_raw_hazard': 0, 'sra->sw_raw_hazard': 0, 'sra->xor_raw_hazard': 0, 'sra_same_src': 0, 'sra_seen': 0, 'sra_zero_dst': 0, 'sra_zero_src': 0, 'srl->add_raw_hazard': 0, 'srl->and_raw_hazard': 0, 'srl->or_raw_hazard': 0, 'srl->sb_raw_hazard': 0, 'srl->sh_raw_hazard': 0, 'srl->sll_raw_hazard': 0, 'srl->slt_raw_hazard': 0, 'srl->sltu_raw_hazard': 0, 'srl->sra_raw_hazard': 0, 'srl->srl_raw_hazard': 0, 'srl->sub_raw_hazard': 0, 'srl->sw_raw_hazard': 0, 'srl->xor_raw_hazard': 0, 'srl_same_src': 0, 'srl_seen': 0, 'srl_zero_dst': 0, 'srl_zero_src': 0, 'sub->add_raw_hazard': 0, 'sub->and_raw_hazard': 0, 'sub->or_raw_hazard': 0, 'sub->sb_raw_hazard': 0, 'sub->sh_raw_hazard': 0, 'sub->sll_raw_hazard': 0, 'sub->slt_raw_hazard': 0, 'sub->sltu_raw_hazard': 0, 'sub->sra_raw_hazard': 0, 'sub->srl_raw_hazard': 0, 'sub->sub_raw_hazard': 0, 'sub->sw_raw_hazard': 0, 'sub->xor_raw_hazard': 0, 'sub_same_src': 0, 'sub_seen': 0, 'sub_zero_dst': 0, 'sub_zero_src': 0, 'sw_same_src': 11, 'sw_seen': 11, 'sw_zero_src': 0, 'xor->add_raw_hazard': 0, 'xor->and_raw_hazard': 0, 'xor->or_raw_hazard': 0, 'xor->sb_raw_hazard': 0, 'xor->sh_raw_hazard': 0, 'xor->sll_raw_hazard': 0, 'xor->slt_raw_hazard': 0, 'xor->sltu_raw_hazard': 0, 'xor->sra_raw_hazard': 0, 'xor->srl_raw_hazard': 0, 'xor->sub_raw_hazard': 0, 'xor->sw_raw_hazard': 0, 'xor->xor_raw_hazard': 0, 'xor_same_src': 0, 'xor_seen': 0, 'xor_zero_dst': 0, 'xor_zero_src': 0}"
3,40,166612,5,"{'add->add_raw_hazard': 0, 'add->and_raw_hazard': 0, 'add->or_raw_hazard': 0, 'add->sb_raw_hazard': 0, 'add->sh_raw_hazard': 0, 'add->sll_raw_hazard': 0, 'add->slt_raw_hazard': 0, 'add->sltu_raw_hazard': 0, 'add->sra_raw_hazard': 0, 'add->srl_raw_hazard': 0, 'add->sub_raw_hazard': 0, 'add->sw_raw_hazard': 0, 'add->xor_raw_hazard': 0, 'add_same_src': 1, 'add_seen': 3, 'add_zero_dst': 0, 'add_zero_src': 0, 'and->add_raw_hazard': 0, 'and->and_raw_hazard': 0, 'and->or_raw_hazard': 0, 'and->sb_raw_hazard': 0, 'and->sh_raw_hazard': 0, 'and->sll_raw_hazard': 0, 'and->slt_raw_hazard': 0, 'and->sltu_raw_hazard': 0, 'and->sra_raw_hazard': 0, 'and->srl_raw_hazard': 0, 'and->sub_raw_hazard': 0, 'and->sw_raw_hazard': 0, 'and->xor_raw_hazard': 0, 'and_same_src': 0, 'and_seen': 0, 'and_zero_dst': 0, 'and_zero_src': 0, 'jal->add_raw_hazard': 0, 'jal->and_raw_hazard': 0, 'jal->or_raw_hazard': 0, 'jal->sb_raw_hazard': 0, 'jal->sh_raw_hazard': 0, 'jal->sll_raw_hazard': 0, 'jal->slt_raw_hazard': 0, 'jal->sltu_raw_hazard': 0, 'jal->sra_raw_hazard': 0, 'jal->srl_raw_hazard': 0, 'jal->sub_raw_hazard': 0, 'jal->sw_raw_hazard': 0, 'jal->xor_raw_hazard': 0, 'jal_br_backwards': 0, 'jal_br_forwards': 0, 'jal_seen': 0, 'jal_zero_dst': 0, 'or->add_raw_hazard': 0, 'or->and_raw_hazard': 0, 'or->or_raw_hazard': 0, 'or->sb_raw_hazard': 0, 'or->sh_raw_hazard': 0, 'or->sll_raw_hazard': 0, 'or->slt_raw_hazard': 0, 'or->sltu_raw_hazard': 0, 'or->sra_raw_hazard': 0, 'or->srl_raw_hazard': 0, 'or->sub_raw_hazard': 0, 'or->sw_raw_hazard': 0, 'or->xor_raw_hazard': 0, 'or_same_src': 0, 'or_seen': 0, 'or_zero_dst': 0, 'or_zero_src': 0, 'sb_same_src': 0, 'sb_seen': 1, 'sb_zero_src': 0, 'sh_same_src': 0, 'sh_seen': 0, 'sh_zero_src': 0, 'sll->add_raw_hazard': 0, 'sll->and_raw_hazard': 0, 'sll->or_raw_hazard': 0, 'sll->sb_raw_hazard': 0, 'sll->sh_raw_hazard': 0, 'sll->sll_raw_hazard': 0, 'sll->slt_raw_hazard': 0, 'sll->sltu_raw_hazard': 0, 'sll->sra_raw_hazard': 0, 'sll->srl_raw_hazard': 0, 'sll->sub_raw_hazard': 0, 'sll->sw_raw_hazard': 0, 'sll->xor_raw_hazard': 0, 'sll_same_src': 0, 'sll_seen': 0, 'sll_zero_dst': 0, 'sll_zero_src': 0, 'slt->add_raw_hazard': 0, 'slt->and_raw_hazard': 0, 'slt->or_raw_hazard': 0, 'slt->sb_raw_hazard': 0, 'slt->sh_raw_hazard': 0, 'slt->sll_raw_hazard': 0, 'slt->slt_raw_hazard': 0, 'slt->sltu_raw_hazard': 0, 'slt->sra_raw_hazard': 0, 'slt->srl_raw_hazard': 0, 'slt->sub_raw_hazard': 0, 'slt->sw_raw_hazard': 0, 'slt->xor_raw_hazard': 0, 'slt_same_src': 0, 'slt_seen': 0, 'slt_zero_dst': 0, 'slt_zero_src': 0, 'sltu->add_raw_hazard': 0, 'sltu->and_raw_hazard': 0, 'sltu->or_raw_hazard': 0, 'sltu->sb_raw_hazard': 0, 'sltu->sh_raw_hazard': 0, 'sltu->sll_raw_hazard': 0, 'sltu->slt_raw_hazard': 0, 'sltu->sltu_raw_hazard': 0, 'sltu->sra_raw_hazard': 0, 'sltu->srl_raw_hazard': 0, 'sltu->sub_raw_hazard': 0, 'sltu->sw_raw_hazard': 0, 'sltu->xor_raw_hazard': 0, 'sltu_same_src': 0, 'sltu_seen': 0, 'sltu_zero_dst': 0, 'sltu_zero_src': 0, 'sra->add_raw_hazard': 0, 'sra->and_raw_hazard': 0, 'sra->or_raw_hazard': 0, 'sra->sb_raw_hazard': 0, 'sra->sh_raw_hazard': 0, 'sra->sll_raw_hazard': 0, 'sra->slt_raw_hazard': 0, 'sra->sltu_raw_hazard': 0, 'sra->sra_raw_hazard': 0, 'sra->srl_raw_hazard': 0, 'sra->sub_raw_hazard': 0, 'sra->sw_raw_hazard': 0, 'sra->xor_raw_hazard': 0, 'sra_same_src': 0, 'sra_seen': 0, 'sra_zero_dst': 0, 'sra_zero_src': 0, 'srl->add_raw_hazard': 0, 'srl->and_raw_hazard': 0, 'srl->or_raw_hazard': 0, 'srl->sb_raw_hazard': 0, 'srl->sh_raw_hazard': 0, 'srl->sll_raw_hazard': 0, 'srl->slt_raw_hazard': 0, 'srl->sltu_raw_hazard': 0, 'srl->sra_raw_hazard': 0, 'srl->srl_raw_hazard': 0, 'srl->sub_raw_hazard': 0, 'srl->sw_raw_hazard': 0, 'srl->xor_raw_hazard': 0, 'srl_same_src': 0, 'srl_seen': 0, 'srl_zero_dst': 0, 'srl_zero_src': 0, 'sub->add_raw_hazard': 0, 'sub->and_raw_hazard': 0, 'sub->or_raw_hazard': 0, 'sub->sb_raw_hazard': 0, 'sub->sh_raw_hazard': 0, 'sub->sll_raw_hazard': 0, 'sub->slt_raw_hazard': 0, 'sub->sltu_raw_hazard': 0, 'sub->sra_raw_hazard': 0, 'sub->srl_raw_hazard': 0, 'sub->sub_raw_hazard': 0, 'sub->sw_raw_hazard': 0, 'sub->xor_raw_hazard': 0, 'sub_same_src': 0, 'sub_seen': 0, 'sub_zero_dst': 0, 'sub_zero_src': 0, 'sw_same_src': 5, 'sw_seen': 12, 'sw_zero_src': 0, 'xor->add_raw_hazard': 0, 'xor->and_raw_hazard': 0, 'xor->or_raw_hazard': 0, 'xor->sb_raw_hazard': 0, 'xor->sh_raw_hazard': 0, 'xor->sll_raw_hazard': 0, 'xor->slt_raw_hazard': 0, 'xor->sltu_raw_hazard': 0, 'xor->sra_raw_hazard': 0, 'xor->srl_raw_hazard': 0, 'xor->sub_raw_hazard': 0, 'xor->sw_raw_hazard': 0, 'xor->xor_raw_hazard': 0, 'xor_same_src': 0, 'xor_seen': 0, 'xor_zero_dst': 0, 'xor_zero_src': 0}"
